"","np","time","value","q025","q25","q50","q75","q975","Y"
"1",0,7,630.321707340264,474.920704433204,610.654374365752,639.005838452771,684.432433266021,744.146805995408,550
"2",0,14,2086.84529072987,1801.03058028094,1951.90243613356,2087.58668965672,2216.57228329687,2706.55301507718,2043
"3",0,21,5747.47094522737,5734.51926139528,6474.42558198544,6980.3485544022,7898.07005637861,8823.76074674447,7745
"4",0,28,14904.2688667635,11250.0797029793,13273.4588079572,14160.8640848422,16243.8635881226,21731.3909523002,13518
"5",0,35,24202.4624983493,20303.7405330375,25695.4410699715,27368.5910868124,28822.0241068169,34969.2901552503,23640
"6",0,42,68559.7401174012,47426.2971762458,53115.9811680245,59132.0469050513,66332.9993930453,76776.0214617451,77227
"7",0,49,90365.6663913159,45169.1942407754,54735.6468580125,64196.4419738978,75503.2335678585,88503.4308177969,70135
"8",0,56,62040.0086830336,33458.2639241537,37436.4223985263,42332.9325506761,44458.8734648572,58164.4980001852,40480
"9",0,63,34353.3846318441,17618.2152094833,19234.2826888645,21806.1582885969,23796.8519745859,30029.7464818197,24998
"10",0,70,13448.8464809737,8403.81395095829,9915.120452336,10803.4984861974,12227.8320234911,14229.087755133,11829
"11",0,77,6226.34758798969,5269.34232493103,6382.47887456828,6751.36496222485,7285.02258395559,8780.2948855892,6410
"12",0,84,6131.75397494266,3872.89637033732,4488.65915653588,5017.15369395971,5502.95325220396,5980.63534003635,4120
"13",0,91,6251.00007275198,4603.1473594539,5240.15136552413,5829.53205586498,6269.59053397997,7054.19854127503,6084
"14",0,98,8805.42235064642,6509.17849497562,7413.75542387083,8382.70938273634,9465.66592356203,10966.7766458081,8018
"15",0,105,7978.65913916481,8067.50314969771,8478.99749432064,9466.16211063211,10916.5928030744,14034.9974849535,9843
"16",0,112,14648.7464640247,11312.9788274504,13027.4766778208,13885.5644356259,14409.5403785992,17817.0507919362,14031
"17",0,119,24683.2611227011,18328.5706100724,20937.7355873591,22389.3252476744,23653.9799939325,28260.4232350017,24280
"18",0,126,28878.9463441757,23546.8700930832,30946.9732382787,34087.3045032028,36196.818236951,40257.7907258507,30690
"19",0,133,63645.7459163086,32819.2007249788,43528.4936949691,52591.0882408312,61913.3029973908,69074.7542348036,50210
"20",0,140,63532.6252822603,52510.3672977051,57199.8314639063,61649.9389269049,70633.2914886303,79842.3095213897,73974
"21",0,147,59710.3567955907,47491.3128211087,59488.6654464019,68802.3865514382,77152.3890886694,102146.264656178,66816
"22",0,154,55380.0982952623,48039.7371328487,52425.7662867692,57252.1638984645,60421.7386650214,75715.2043059672,52544
"23",0,161,36751.1181081084,31674.1330948189,41989.5103960572,49233.2350984039,53709.3412018204,61318.1414953609,48688
"24",0,168,33621.3901811869,28798.1333342823,30969.1002292719,34572.9930940224,36730.199347335,45684.5374071798,38163
"25",0,175,23485.0348950528,18583.9082124457,21743.4214652532,24706.0106994623,26270.8843977139,28476.6965046742,22468
"26",0,182,18511.9957329589,12839.4566576772,14460.4473276284,15322.0405149593,17850.1773588932,18875.1043766572,14737
"27",0,189,16140.9942494656,9863.21719754561,11090.0984042023,12270.1664684962,13383.4759170372,16180.8200935398,11726
"28",0,196,10248.0119808751,6402.00841428229,7400.07121260812,8220.24946604845,9138.82109150607,10832.3545037969,8435
"29",0,203,5332.45214218889,3800.31496585077,4409.26237094699,4974.99846327062,5498.64134375525,6932.23137241911,4631
"30",0,210,3711.50614406652,2580.5931871772,3328.74654591942,3606.24142370032,3770.60366080872,4148.28236445837,3357
"31",0,217,3224.70475474337,2609.27398741299,2877.81990770988,3260.05249962056,3732.01289228477,4127.31991507907,4182
"32",0,224,2654.8469241009,1818.77256837277,2007.05958455935,2536.22164790987,2712.90215685644,3003.67049912772,2487
"33",0,231,2145.18354052091,1163.87923418648,1594.47887148722,1778.82681468519,2060.57150238921,2405.05419203318,1663
"34",0,238,832.007424482194,850.899802539589,1016.19285311712,1102.75865049278,1206.73777037714,1344.72484232376,1092
"35",0,245,784.652869802483,534.898091774465,757.406187890422,781.795382454432,843.289375476376,1061.14981196021,754
"36",0,252,433.429823458503,348.036271193099,387.06340293959,429.655496792499,480.317120608974,601.169668177558,391
"37",0,259,172.433051355245,133.170503521849,162.11835746142,167.760108086187,177.753420039984,264.529955732918,184
"38",1,7,767.917999997294,474.920704433204,610.654374365752,639.005838452771,684.432433266021,744.146805995408,550
"39",1,14,2088.32808858357,1801.03058028094,1951.90243613356,2087.58668965672,2216.57228329687,2706.55301507718,2043
"40",1,21,6946.92305399346,5734.51926139528,6474.42558198544,6980.3485544022,7898.07005637861,8823.76074674447,7745
"41",1,28,16201.3322140642,11250.0797029793,13273.4588079572,14160.8640848422,16243.8635881226,21731.3909523002,13518
"42",1,35,26285.1096226033,20303.7405330375,25695.4410699715,27368.5910868124,28822.0241068169,34969.2901552503,23640
"43",1,42,57034.9028512914,47426.2971762458,53115.9811680245,59132.0469050513,66332.9993930453,76776.0214617451,77227
"44",1,49,52275.2436991254,45169.1942407754,54735.6468580125,64196.4419738978,75503.2335678585,88503.4308177969,70135
"45",1,56,40159.8035901712,33458.2639241537,37436.4223985263,42332.9325506761,44458.8734648572,58164.4980001852,40480
"46",1,63,21533.9962599779,17618.2152094833,19234.2826888645,21806.1582885969,23796.8519745859,30029.7464818197,24998
"47",1,70,14446.9350547506,8403.81395095829,9915.120452336,10803.4984861974,12227.8320234911,14229.087755133,11829
"48",1,77,6891.67776503969,5269.34232493103,6382.47887456828,6751.36496222485,7285.02258395559,8780.2948855892,6410
"49",1,84,4380.31032079729,3872.89637033732,4488.65915653588,5017.15369395971,5502.95325220396,5980.63534003635,4120
"50",1,91,5659.79355810712,4603.1473594539,5240.15136552413,5829.53205586498,6269.59053397997,7054.19854127503,6084
"51",1,98,10291.8103525572,6509.17849497562,7413.75542387083,8382.70938273634,9465.66592356203,10966.7766458081,8018
"52",1,105,9445.62076209152,8067.50314969771,8478.99749432064,9466.16211063211,10916.5928030744,14034.9974849535,9843
"53",1,112,13856.1617992821,11312.9788274504,13027.4766778208,13885.5644356259,14409.5403785992,17817.0507919362,14031
"54",1,119,23110.486789534,18328.5706100724,20937.7355873591,22389.3252476744,23653.9799939325,28260.4232350017,24280
"55",1,126,25748.3771256028,23546.8700930832,30946.9732382787,34087.3045032028,36196.818236951,40257.7907258507,30690
"56",1,133,57086.3953792328,32819.2007249788,43528.4936949691,52591.0882408312,61913.3029973908,69074.7542348036,50210
"57",1,140,70954.9327068664,52510.3672977051,57199.8314639063,61649.9389269049,70633.2914886303,79842.3095213897,73974
"58",1,147,68716.6033936298,47491.3128211087,59488.6654464019,68802.3865514382,77152.3890886694,102146.264656178,66816
"59",1,154,60101.5022238932,48039.7371328487,52425.7662867692,57252.1638984645,60421.7386650214,75715.2043059672,52544
"60",1,161,52418.4523694764,31674.1330948189,41989.5103960572,49233.2350984039,53709.3412018204,61318.1414953609,48688
"61",1,168,39012.7636153928,28798.1333342823,30969.1002292719,34572.9930940224,36730.199347335,45684.5374071798,38163
"62",1,175,28423.6747882904,18583.9082124457,21743.4214652532,24706.0106994623,26270.8843977139,28476.6965046742,22468
"63",1,182,18378.8915888936,12839.4566576772,14460.4473276284,15322.0405149593,17850.1773588932,18875.1043766572,14737
"64",1,189,13810.1635637202,9863.21719754561,11090.0984042023,12270.1664684962,13383.4759170372,16180.8200935398,11726
"65",1,196,9130.95850128768,6402.00841428229,7400.07121260812,8220.24946604845,9138.82109150607,10832.3545037969,8435
"66",1,203,4426.41044112553,3800.31496585077,4409.26237094699,4974.99846327062,5498.64134375525,6932.23137241911,4631
"67",1,210,4115.39289876878,2580.5931871772,3328.74654591942,3606.24142370032,3770.60366080872,4148.28236445837,3357
"68",1,217,3528.88038513344,2609.27398741299,2877.81990770988,3260.05249962056,3732.01289228477,4127.31991507907,4182
"69",1,224,2193.65085022834,1818.77256837277,2007.05958455935,2536.22164790987,2712.90215685644,3003.67049912772,2487
"70",1,231,2121.13516647667,1163.87923418648,1594.47887148722,1778.82681468519,2060.57150238921,2405.05419203318,1663
"71",1,238,871.780851971447,850.899802539589,1016.19285311712,1102.75865049278,1206.73777037714,1344.72484232376,1092
"72",1,245,778.937895106381,534.898091774465,757.406187890422,781.795382454432,843.289375476376,1061.14981196021,754
"73",1,252,491.672161455139,348.036271193099,387.06340293959,429.655496792499,480.317120608974,601.169668177558,391
"74",1,259,243.743132542605,133.170503521849,162.11835746142,167.760108086187,177.753420039984,264.529955732918,184
"75",2,7,658.135484542132,474.920704433204,610.654374365752,639.005838452771,684.432433266021,744.146805995408,550
"76",2,14,2129.52384033646,1801.03058028094,1951.90243613356,2087.58668965672,2216.57228329687,2706.55301507718,2043
"77",2,21,6208.64627250923,5734.51926139528,6474.42558198544,6980.3485544022,7898.07005637861,8823.76074674447,7745
"78",2,28,13886.2690626827,11250.0797029793,13273.4588079572,14160.8640848422,16243.8635881226,21731.3909523002,13518
"79",2,35,29335.3726002895,20303.7405330375,25695.4410699715,27368.5910868124,28822.0241068169,34969.2901552503,23640
"80",2,42,59369.5052228589,47426.2971762458,53115.9811680245,59132.0469050513,66332.9993930453,76776.0214617451,77227
"81",2,49,58124.7962813134,45169.1942407754,54735.6468580125,64196.4419738978,75503.2335678585,88503.4308177969,70135
"82",2,56,42333.8680032069,33458.2639241537,37436.4223985263,42332.9325506761,44458.8734648572,58164.4980001852,40480
"83",2,63,25057.6920499773,17618.2152094833,19234.2826888645,21806.1582885969,23796.8519745859,30029.7464818197,24998
"84",2,70,12736.3383162487,8403.81395095829,9915.120452336,10803.4984861974,12227.8320234911,14229.087755133,11829
"85",2,77,7214.06886891627,5269.34232493103,6382.47887456828,6751.36496222485,7285.02258395559,8780.2948855892,6410
"86",2,84,4492.13474147001,3872.89637033732,4488.65915653588,5017.15369395971,5502.95325220396,5980.63534003635,4120
"87",2,91,6604.0893239981,4603.1473594539,5240.15136552413,5829.53205586498,6269.59053397997,7054.19854127503,6084
"88",2,98,10760.0867873224,6509.17849497562,7413.75542387083,8382.70938273634,9465.66592356203,10966.7766458081,8018
"89",2,105,8309.50536243807,8067.50314969771,8478.99749432064,9466.16211063211,10916.5928030744,14034.9974849535,9843
"90",2,112,13914.9670719696,11312.9788274504,13027.4766778208,13885.5644356259,14409.5403785992,17817.0507919362,14031
"91",2,119,23890.2389855049,18328.5706100724,20937.7355873591,22389.3252476744,23653.9799939325,28260.4232350017,24280
"92",2,126,31438.4156997187,23546.8700930832,30946.9732382787,34087.3045032028,36196.818236951,40257.7907258507,30690
"93",2,133,46167.9863913651,32819.2007249788,43528.4936949691,52591.0882408312,61913.3029973908,69074.7542348036,50210
"94",2,140,55412.5435109768,52510.3672977051,57199.8314639063,61649.9389269049,70633.2914886303,79842.3095213897,73974
"95",2,147,72241.7016331518,47491.3128211087,59488.6654464019,68802.3865514382,77152.3890886694,102146.264656178,66816
"96",2,154,47514.0244110274,48039.7371328487,52425.7662867692,57252.1638984645,60421.7386650214,75715.2043059672,52544
"97",2,161,50025.6269055855,31674.1330948189,41989.5103960572,49233.2350984039,53709.3412018204,61318.1414953609,48688
"98",2,168,43700.2730530422,28798.1333342823,30969.1002292719,34572.9930940224,36730.199347335,45684.5374071798,38163
"99",2,175,23910.8642505038,18583.9082124457,21743.4214652532,24706.0106994623,26270.8843977139,28476.6965046742,22468
"100",2,182,14852.2913321372,12839.4566576772,14460.4473276284,15322.0405149593,17850.1773588932,18875.1043766572,14737
"101",2,189,16216.8530000832,9863.21719754561,11090.0984042023,12270.1664684962,13383.4759170372,16180.8200935398,11726
"102",2,196,7151.04620819738,6402.00841428229,7400.07121260812,8220.24946604845,9138.82109150607,10832.3545037969,8435
"103",2,203,4428.45326832473,3800.31496585077,4409.26237094699,4974.99846327062,5498.64134375525,6932.23137241911,4631
"104",2,210,3440.54284094861,2580.5931871772,3328.74654591942,3606.24142370032,3770.60366080872,4148.28236445837,3357
"105",2,217,3899.25765040093,2609.27398741299,2877.81990770988,3260.05249962056,3732.01289228477,4127.31991507907,4182
"106",2,224,2477.49404776373,1818.77256837277,2007.05958455935,2536.22164790987,2712.90215685644,3003.67049912772,2487
"107",2,231,1406.7779986396,1163.87923418648,1594.47887148722,1778.82681468519,2060.57150238921,2405.05419203318,1663
"108",2,238,1025.45637119414,850.899802539589,1016.19285311712,1102.75865049278,1206.73777037714,1344.72484232376,1092
"109",2,245,760.165397671352,534.898091774465,757.406187890422,781.795382454432,843.289375476376,1061.14981196021,754
"110",2,252,425.881170126496,348.036271193099,387.06340293959,429.655496792499,480.317120608974,601.169668177558,391
"111",2,259,168.82680133328,133.170503521849,162.11835746142,167.760108086187,177.753420039984,264.529955732918,184
"112",3,7,616.1054199783,474.920704433204,610.654374365752,639.005838452771,684.432433266021,744.146805995408,550
"113",3,14,2528.91843826815,1801.03058028094,1951.90243613356,2087.58668965672,2216.57228329687,2706.55301507718,2043
"114",3,21,8075.44847086178,5734.51926139528,6474.42558198544,6980.3485544022,7898.07005637861,8823.76074674447,7745
"115",3,28,13806.5864435722,11250.0797029793,13273.4588079572,14160.8640848422,16243.8635881226,21731.3909523002,13518
"116",3,35,23413.284059935,20303.7405330375,25695.4410699715,27368.5910868124,28822.0241068169,34969.2901552503,23640
"117",3,42,48167.2629406096,47426.2971762458,53115.9811680245,59132.0469050513,66332.9993930453,76776.0214617451,77227
"118",3,49,55555.7812443081,45169.1942407754,54735.6468580125,64196.4419738978,75503.2335678585,88503.4308177969,70135
"119",3,56,43384.8829193832,33458.2639241537,37436.4223985263,42332.9325506761,44458.8734648572,58164.4980001852,40480
"120",3,63,18947.7245128209,17618.2152094833,19234.2826888645,21806.1582885969,23796.8519745859,30029.7464818197,24998
"121",3,70,10171.9729156283,8403.81395095829,9915.120452336,10803.4984861974,12227.8320234911,14229.087755133,11829
"122",3,77,5110.69181706768,5269.34232493103,6382.47887456828,6751.36496222485,7285.02258395559,8780.2948855892,6410
"123",3,84,4005.08101086211,3872.89637033732,4488.65915653588,5017.15369395971,5502.95325220396,5980.63534003635,4120
"124",3,91,5373.51734795691,4603.1473594539,5240.15136552413,5829.53205586498,6269.59053397997,7054.19854127503,6084
"125",3,98,7273.80669029435,6509.17849497562,7413.75542387083,8382.70938273634,9465.66592356203,10966.7766458081,8018
"126",3,105,8252.14388232744,8067.50314969771,8478.99749432064,9466.16211063211,10916.5928030744,14034.9974849535,9843
"127",3,112,14291.5460992193,11312.9788274504,13027.4766778208,13885.5644356259,14409.5403785992,17817.0507919362,14031
"128",3,119,18058.2842036733,18328.5706100724,20937.7355873591,22389.3252476744,23653.9799939325,28260.4232350017,24280
"129",3,126,22721.8858558771,23546.8700930832,30946.9732382787,34087.3045032028,36196.818236951,40257.7907258507,30690
"130",3,133,44624.6935967136,32819.2007249788,43528.4936949691,52591.0882408312,61913.3029973908,69074.7542348036,50210
"131",3,140,70581.6177539475,52510.3672977051,57199.8314639063,61649.9389269049,70633.2914886303,79842.3095213897,73974
"132",3,147,66871.2453880317,47491.3128211087,59488.6654464019,68802.3865514382,77152.3890886694,102146.264656178,66816
"133",3,154,48620.7880359143,48039.7371328487,52425.7662867692,57252.1638984645,60421.7386650214,75715.2043059672,52544
"134",3,161,42699.639938509,31674.1330948189,41989.5103960572,49233.2350984039,53709.3412018204,61318.1414953609,48688
"135",3,168,30438.000863614,28798.1333342823,30969.1002292719,34572.9930940224,36730.199347335,45684.5374071798,38163
"136",3,175,18641.023030096,18583.9082124457,21743.4214652532,24706.0106994623,26270.8843977139,28476.6965046742,22468
"137",3,182,14974.215714205,12839.4566576772,14460.4473276284,15322.0405149593,17850.1773588932,18875.1043766572,14737
"138",3,189,10474.122930964,9863.21719754561,11090.0984042023,12270.1664684962,13383.4759170372,16180.8200935398,11726
"139",3,196,10695.9633678247,6402.00841428229,7400.07121260812,8220.24946604845,9138.82109150607,10832.3545037969,8435
"140",3,203,7195.34239940119,3800.31496585077,4409.26237094699,4974.99846327062,5498.64134375525,6932.23137241911,4631
"141",3,210,3409.15960242957,2580.5931871772,3328.74654591942,3606.24142370032,3770.60366080872,4148.28236445837,3357
"142",3,217,2606.35455066472,2609.27398741299,2877.81990770988,3260.05249962056,3732.01289228477,4127.31991507907,4182
"143",3,224,2180.62510314257,1818.77256837277,2007.05958455935,2536.22164790987,2712.90215685644,3003.67049912772,2487
"144",3,231,1110.33980173493,1163.87923418648,1594.47887148722,1778.82681468519,2060.57150238921,2405.05419203318,1663
"145",3,238,923.088420288674,850.899802539589,1016.19285311712,1102.75865049278,1206.73777037714,1344.72484232376,1092
"146",3,245,837.617948703184,534.898091774465,757.406187890422,781.795382454432,843.289375476376,1061.14981196021,754
"147",3,252,357.317311952647,348.036271193099,387.06340293959,429.655496792499,480.317120608974,601.169668177558,391
"148",3,259,140.215891852534,133.170503521849,162.11835746142,167.760108086187,177.753420039984,264.529955732918,184
"149",4,7,678.85472926401,474.920704433204,610.654374365752,639.005838452771,684.432433266021,744.146805995408,550
"150",4,14,1917.03998444244,1801.03058028094,1951.90243613356,2087.58668965672,2216.57228329687,2706.55301507718,2043
"151",4,21,5722.80107126147,5734.51926139528,6474.42558198544,6980.3485544022,7898.07005637861,8823.76074674447,7745
"152",4,28,12447.3750442302,11250.0797029793,13273.4588079572,14160.8640848422,16243.8635881226,21731.3909523002,13518
"153",4,35,26050.1132898927,20303.7405330375,25695.4410699715,27368.5910868124,28822.0241068169,34969.2901552503,23640
"154",4,42,58894.5885872438,47426.2971762458,53115.9811680245,59132.0469050513,66332.9993930453,76776.0214617451,77227
"155",4,49,41295.1031965416,45169.1942407754,54735.6468580125,64196.4419738978,75503.2335678585,88503.4308177969,70135
"156",4,56,43795.0836614076,33458.2639241537,37436.4223985263,42332.9325506761,44458.8734648572,58164.4980001852,40480
"157",4,63,23196.0201106369,17618.2152094833,19234.2826888645,21806.1582885969,23796.8519745859,30029.7464818197,24998
"158",4,70,11465.7788492404,8403.81395095829,9915.120452336,10803.4984861974,12227.8320234911,14229.087755133,11829
"159",4,77,5444.69288625368,5269.34232493103,6382.47887456828,6751.36496222485,7285.02258395559,8780.2948855892,6410
"160",4,84,4806.72717423549,3872.89637033732,4488.65915653588,5017.15369395971,5502.95325220396,5980.63534003635,4120
"161",4,91,5686.15017727226,4603.1473594539,5240.15136552413,5829.53205586498,6269.59053397997,7054.19854127503,6084
"162",4,98,7120.05621893847,6509.17849497562,7413.75542387083,8382.70938273634,9465.66592356203,10966.7766458081,8018
"163",4,105,8573.88630183549,8067.50314969771,8478.99749432064,9466.16211063211,10916.5928030744,14034.9974849535,9843
"164",4,112,11635.6106754483,11312.9788274504,13027.4766778208,13885.5644356259,14409.5403785992,17817.0507919362,14031
"165",4,119,22682.0027501418,18328.5706100724,20937.7355873591,22389.3252476744,23653.9799939325,28260.4232350017,24280
"166",4,126,24458.694776311,23546.8700930832,30946.9732382787,34087.3045032028,36196.818236951,40257.7907258507,30690
"167",4,133,49084.7397154251,32819.2007249788,43528.4936949691,52591.0882408312,61913.3029973908,69074.7542348036,50210
"168",4,140,62544.6437161636,52510.3672977051,57199.8314639063,61649.9389269049,70633.2914886303,79842.3095213897,73974
"169",4,147,56501.5864816186,47491.3128211087,59488.6654464019,68802.3865514382,77152.3890886694,102146.264656178,66816
"170",4,154,49110.0095938435,48039.7371328487,52425.7662867692,57252.1638984645,60421.7386650214,75715.2043059672,52544
"171",4,161,48440.8432912222,31674.1330948189,41989.5103960572,49233.2350984039,53709.3412018204,61318.1414953609,48688
"172",4,168,34191.0707037203,28798.1333342823,30969.1002292719,34572.9930940224,36730.199347335,45684.5374071798,38163
"173",4,175,27495.1887026656,18583.9082124457,21743.4214652532,24706.0106994623,26270.8843977139,28476.6965046742,22468
"174",4,182,17202.2021653388,12839.4566576772,14460.4473276284,15322.0405149593,17850.1773588932,18875.1043766572,14737
"175",4,189,9310.49296254798,9863.21719754561,11090.0984042023,12270.1664684962,13383.4759170372,16180.8200935398,11726
"176",4,196,9162.40886216126,6402.00841428229,7400.07121260812,8220.24946604845,9138.82109150607,10832.3545037969,8435
"177",4,203,5595.58737713405,3800.31496585077,4409.26237094699,4974.99846327062,5498.64134375525,6932.23137241911,4631
"178",4,210,3122.34725501834,2580.5931871772,3328.74654591942,3606.24142370032,3770.60366080872,4148.28236445837,3357
"179",4,217,2882.21604007307,2609.27398741299,2877.81990770988,3260.05249962056,3732.01289228477,4127.31991507907,4182
"180",4,224,1883.60812671344,1818.77256837277,2007.05958455935,2536.22164790987,2712.90215685644,3003.67049912772,2487
"181",4,231,1470.10854764723,1163.87923418648,1594.47887148722,1778.82681468519,2060.57150238921,2405.05419203318,1663
"182",4,238,1105.62649357644,850.899802539589,1016.19285311712,1102.75865049278,1206.73777037714,1344.72484232376,1092
"183",4,245,771.702940045905,534.898091774465,757.406187890422,781.795382454432,843.289375476376,1061.14981196021,754
"184",4,252,352.932931920291,348.036271193099,387.06340293959,429.655496792499,480.317120608974,601.169668177558,391
"185",4,259,126.79610455599,133.170503521849,162.11835746142,167.760108086187,177.753420039984,264.529955732918,184
"186",5,7,631.313598682342,474.920704433204,610.654374365752,639.005838452771,684.432433266021,744.146805995408,550
