"","time","x","S","E","I","R","Z"
"133",133,1.97436008742079,7.53940788825792e-14,3.37108671276081e-10,47.3664622280493,52196333.6335379,41140435.0565467
"134",134,1.97436008742079,7.53936125291036e-14,-1.44992356143817e-10,42.385382256642,52196338.6146178,41140435.0565467
"135",135,1.97436008742079,7.53931952193203e-14,-2.0198966412457e-10,37.9281074863897,52196343.0718926,41140435.0565467
"136",136,1.97436008742079,7.53928217961013e-14,1.88740397571992e-10,33.9395630346195,52196347.0604371,41140435.0565467
"137",137,1.97436008742079,7.53924876438852e-14,-1.15112444655142e-10,30.3704565786699,52196350.6295435,41140435.0565467
"138",138,1.97436008742079,7.53921886325332e-14,-1.15199890658392e-10,27.1766790835735,52196353.823321,41140435.0565467
"139",139,1.97436008742079,7.53919210663404e-14,1.96307524397474e-10,24.3187605124272,52196356.6812396,41140435.0565467
"140",140,1.97436008742079,7.5391681638384e-14,-3.39533785041746e-10,21.7613824815554,52196359.2386176,41140435.0565467
"141",141,1.97436008742079,7.53914673895154e-14,-4.7347459504317e-11,19.4729404506227,52196361.5270597,41140435.0565467
"142",142,1.97436008742079,7.53912756717329e-14,4.58913759390809e-10,17.4251526810189,52196363.5748474,41140435.0565467
"143",143,1.97436008742079,7.53911041155368e-14,-4.82406228954819e-10,15.5927116742725,52196365.4072884,41140435.0565467
"144",144,1.97436008742079,7.5390950600639e-14,5.23299841517641e-11,13.9529714202063,52196367.0470287,41140435.0565467
"145",145,1.97436008742079,7.53908132297376e-14,6.40211093061632e-10,12.4856673710232,52196368.5143327,41140435.0565467
"146",146,1.97436008742079,7.53906903050669e-14,-8.73701589146743e-10,11.1726660258563,52196369.8273341,41140435.0565467
"147",147,1.97436008742079,7.53905803074088e-14,2.43676645883876e-10,9.99774080055949,52196371.0022593,41140435.0565467
"148",148,1.97436008742079,7.5390481877316e-14,8.92441933535808e-10,8.94637151808828,52196372.0536286,41140435.0565467
"149",149,1.97436008742079,7.53903937983082e-14,-1.47491685043557e-09,8.0055649543873,52196372.9944352,41140435.0565467
"150",150,1.97436008742079,7.53903149818365e-14,6.6340095769036e-10,7.16369424912775,52196373.8363059,41140435.0565467
"151",151,1.97436008742079,7.53902444538289e-14,1.17936325880578e-09,6.4103552462112,52196374.5896449,41140435.0565467
"152",152,1.97436008742079,7.53901813426506e-14,-2.8052366087299e-09,5.73623789088948,52196375.2637622,41140435.0565467
"153",153,1.97436008742079,7.53901248683367e-14,9.51710403903866e-10,5.13301122421298,52196375.8669889,41140435.0565467
"154",154,1.97436008742079,7.5390074332946e-14,3.81906044422097e-09,4.59322039146349,52196376.4067797,41140435.0565467
"155",155,1.97436008742079,7.53900291119219e-14,-6.63393183724434e-10,4.11019435580937,52196376.8898058,41140435.0565467
"156",156,1.97436008742079,7.53899886463926e-14,6.89705095680367e-10,3.67796364238378,52196377.3220365,41140435.0565467
"157",157,1.97436008742079,7.53899524362618e-14,2.62350571769571e-09,3.29118657615049,52196377.7088135,41140435.0565467
"158",158,1.97436008742079,7.53899200340221e-14,-1.17765189861279e-09,2.94508319532046,52196378.0549169,41140435.0565467
"159",159,1.97436008742079,7.53898910392093e-14,1.14248407266668e-10,2.63537599423218,52196378.3646241,41140435.0565467
"160",160,1.97436008742079,7.5389865093516e-14,-1.77093294599771e-10,2.35823776946709,52196378.6417624,41140435.0565467
"161",161,1.97436008742079,7.53898418762963e-14,-4.98058327423962e-11,2.11024358119627,52196378.8897565,41140435.0565467
"162",162,1.97436008742079,7.53898211006301e-14,8.32470705701931e-11,1.88832872430775,52196379.1116714,41140435.0565467
"163",163,1.97436008742079,7.53898025098249e-14,-3.32264174703559e-10,1.68975136468901,52196379.3102488,41140435.0565467
"164",164,1.97436008742079,7.53897858739982e-14,-4.65701097516261e-10,1.51205603143611,52196379.4879441,41140435.0565467
"165",165,1.97436008742079,7.53897709876054e-14,-4.36937634404027e-10,1.35304721745411,52196379.6469529,41140435.0565467
"166",166,1.97436008742079,7.53897576666804e-14,-3.92731524211496e-10,1.21075990011615,52196379.7892402,41140435.0565467
"167",167,1.97436008742079,7.53897457465933e-14,-1.6421153658165e-10,1.08343559675816,52196379.9165645,41140435.0565467
"168",168,1.97436008742079,7.53897350800284e-14,-6.16719958975751e-11,0.969500762695572,52196380.0304993,41140435.0565467
"169",169,1.97436008742079,7.5389725535166e-14,-8.5306203935075e-11,0.867547371865879,52196380.1324527,41140435.0565467
"170",170,1.97436008742079,7.53897169940504e-14,3.96817215279994e-11,0.776315485464779,52196380.2236846,41140435.0565467
"171",171,1.97436008742079,7.53897093511261e-14,-3.44753590191729e-11,0.69467761705111,52196380.3053225,41140435.0565467
"172",172,1.97436008742079,7.53897025119376e-14,-1.23586661812991e-10,0.621624842588823,52196380.3783753,41140435.0565467
"173",173,1.97436008742079,7.53896963919634e-14,9.89663353650516e-11,0.556254347679565,52196380.4437458,41140435.0565467
"174",174,1.97436008742079,7.53896909155703e-14,-3.05264234343325e-11,0.497758258968869,52196380.5022419,41140435.0565467
"175",175,1.97436008742079,7.53896860150788e-14,-1.35715142879245e-10,0.445413659049765,52196380.5545865,41140435.0565467
"176",176,1.97436008742079,7.53896816299266e-14,1.98854588864129e-10,0.398573652717744,52196380.6014265,41140435.0565467
"177",177,1.97436008742079,7.53896777059202e-14,-7.58110685692716e-11,0.356659374258894,52196380.6433408,41140435.0565467
"178",178,1.97436008742079,7.53896741945652e-14,-1.81322979643243e-10,0.319152829914977,52196380.6808473,41140435.0565467
"179",179,1.97436008742079,7.53896710524668e-14,3.3302120213562e-10,0.285590498763773,52196380.7144096,41140435.0565467
"180",180,1.97436008742079,7.53896682407938e-14,-1.79038825195784e-10,0.255557606563098,52196380.7444425,41140435.0565467
"181",181,1.97436008742079,7.53896657247983e-14,-2.29693331671746e-10,0.22868299341599,52196380.7713171,41140435.0565467
"182",182,1.97436008742079,7.53896634733867e-14,5.28768541088177e-10,0.204634531793945,52196380.7953656,41140435.0565467
"183",183,1.97436008742079,7.53896614587356e-14,-1.92521855826853e-10,0.183115029671245,52196380.8168851,41140435.0565467
"184",184,1.97436008742079,7.53896596559469e-14,-4.60140071856709e-10,0.163858534662552,52196380.8361416,41140435.0565467
"185",185,1.97436008742079,7.53896580427405e-14,3.50613266229868e-10,0.1466270636886,52196380.8533731,41140435.0565467
"186",186,1.97436008742079,7.53896565991801e-14,-1.3053843231714e-10,0.131207666869753,52196380.8687925,41140435.0565467
"187",187,1.97436008742079,7.53896553074254e-14,-3.76492603387724e-10,0.117409783610634,52196380.8825903,41140435.0565467
"188",188,1.97436008742079,7.53896541515118e-14,7.71098106151e-11,0.105062887134562,52196380.8949372,41140435.0565467
"189",189,1.97436008742079,7.53896531171541e-14,-8.01145576995058e-11,0.0940143900857514,52196380.9059857,41140435.0565467
"190",190,1.97436008742079,7.53896521915705e-14,1.36239527411227e-11,0.0841277642902854,52196380.9158723,41140435.0565467
"191",191,1.97436008742079,7.53896513633218e-14,-1.72099365784255e-11,0.0752808209799002,52196380.9247193,41140435.0565467
"192",192,1.97436008742079,7.53896506221731e-14,-1.26810571186463e-11,0.0673642368950963,52196380.9326359,41140435.0565467
"193",193,1.97436008742079,7.53896499589659e-14,6.77868571198887e-11,0.0602801859931601,52196380.9397199,41140435.0565467
"194",194,1.97436008742079,7.53896493655005e-14,9.17352510467697e-11,0.0539410820150747,52196380.946059,41140435.0565467
"195",195,1.97436008742079,7.53896488344443e-14,5.3635958128285e-11,0.0482686025460202,52196380.9517315,41140435.0565467
"196",196,1.97436008742079,7.53896483592344e-14,4.76214817961207e-11,0.0431926451334932,52196380.9568075,41140435.0565467
"197",197,1.97436008742079,7.53896479339978e-14,3.16493370543539e-11,0.0386504783446599,52196380.9613497,41140435.0565467
"198",198,1.97436008742079,7.53896475534794e-14,-2.65315068076238e-12,0.0345859689716261,52196380.9654142,41140435.0565467
"199",199,1.97436008742079,7.53896472129766e-14,8.6653135196893e-12,0.0309488859706872,52196380.9690513,41140435.0565467
"200",200,1.97436008742079,7.53896469082813e-14,1.22566898600734e-11,0.0276942809835185,52196380.9723059,41140435.0565467
"201",201,1.97436008742079,7.53896466356279e-14,-1.03545177192933e-11,0.0247819324112709,52196380.9752182,41140435.0565467
"202",202,1.97436008742079,7.53896463916469e-14,3.175393992299e-12,0.0221758482654426,52196380.9778243,41140435.0565467
"203",203,1.97436008742079,7.53896461733231e-14,9.95094366146358e-12,0.019843821630286,52196380.9801563,41140435.0565467
"204",204,1.97436008742079,7.53896459779585e-14,-1.05006799765749e-11,0.0177570324651487,52196380.9822431,41140435.0565467
"205",205,1.97436008742079,7.53896458031384e-14,1.20519749907374e-12,0.0158896913692428,52196380.9841105,41140435.0565467
"206",206,1.97436008742079,7.53896456467026e-14,9.33304344147749e-12,0.0142187210803705,52196380.9857814,41140435.0565467
"207",207,1.97436008742079,7.53896455067177e-14,-9.55334804491979e-12,0.0127234711456619,52196380.9872767,41140435.0565467
"208",208,1.97436008742079,7.53896453814537e-14,1.06961582044291e-13,0.011385462634274,52196380.9886147,41140435.0565467
"209",209,1.97436008742079,7.53896452693625e-14,9.04132497905386e-12,0.010188159967816,52196380.989812,41140435.0565467
"210",210,1.97436008742079,7.53896451690589e-14,-8.44240134230863e-12,0.00911676645945976,52196380.9908834,41140435.0565467
"211",211,1.97436008742079,7.53896450793033e-14,-7.48029031330912e-13,0.00815804136087708,52196380.9918421,41140435.0565467
"212",212,1.97436008742079,7.53896449989864e-14,8.72316601240288e-12,0.00730013641405875,52196380.9927,41140435.0565467
"213",213,1.97436008742079,7.53896449271157e-14,-7.36572186218786e-12,0.0065324493392934,52196380.9934677,41140435.0565467
"214",214,1.97436008742079,7.5389644862803e-14,-1.45990280970999e-12,0.00584549271191159,52196380.9941547,41140435.0565467
"215",215,1.97436008742079,7.53896448052535e-14,8.35103980079477e-12,0.00523077688474819,52196380.9947694,41140435.0565467
"216",216,1.97436008742079,7.53896447537559e-14,-6.34927841353491e-12,0.00468070500232876,52196380.9953194,41140435.0565467
"217",217,1.97436008742079,7.53896447076738e-14,-2.05040701055413e-12,0.00418847901559724,52196380.9958117,41140435.0565467
"218",218,1.97436008742079,7.53896446664377e-14,7.93134906411481e-12,0.00374801582630643,52196380.9962521,41140435.0565467
"219",219,1.97436008742079,7.53896446295381e-14,-5.40012665110815e-12,0.00335387205955032,52196380.9966463,41140435.0565467
"220",220,1.97436008742079,7.53896445965189e-14,-2.5313999330209e-12,0.00300117668965444,52196380.996999,41140435.0565467
"221",221,1.97436008742079,7.53896445669719e-14,7.47513568912485e-12,0.00268557098519731,52196380.9973146,41140435.0565467
"222",222,1.97436008742079,7.53896445405322e-14,-4.52063898114412e-12,0.00240315460736654,52196380.997597,41140435.0565467
"223",223,1.97436008742079,7.53896445168728e-14,-2.91287215460367e-12,0.00215043730449782,52196380.9978497,41140435.0565467
"224",224,1.97436008742079,7.53896444957015e-14,6.99305266871018e-12,0.00192429590726487,52196380.9980758,41140435.0565467
"225",225,1.97436008742079,7.53896444767566e-14,-3.71164270300597e-12,0.00172193571024442,52196380.9982782,41140435.0565467
"226",226,1.97436008742079,7.53896444598039e-14,-3.33849082354123e-12,0.00154085579163376,52196380.9984593,41140435.0565467
"227",227,1.97436008742079,7.5389644444634e-14,7.08631704981182e-12,0.0013788184049522,52196380.9986213,41140435.0565467
"228",228,1.97436008742079,7.53896444310594e-14,-1.24623116630749e-12,0.00123382076955315,52196380.9987663,41140435.0565467
"229",229,1.97436008742079,7.53896444189122e-14,-7.89759728926308e-12,0.00110407084977055,52196380.9988961,41140435.0565467
"230",230,1.97436008742079,7.53896444080425e-14,-8.03327071052697e-13,0.000987965548222083,52196380.9990122,41140435.0565467
"231",231,1.97436008742079,7.53896443983158e-14,2.30163371087093e-13,0.000884070019035954,52196380.9991161,41140435.0565467
"232",232,1.97436008742079,7.5389644389612e-14,-2.93582570181491e-12,0.000791100259072554,52196380.999209,41140435.0565467
"233",233,1.97436008742079,7.53896443818235e-14,-3.69995256569584e-13,0.000707907294128651,52196380.9992922,41140435.0565467
"234",234,1.97436008742079,7.5389644374854e-14,9.83941974338156e-13,0.000633462992918034,52196380.9993667,41140435.0565467
"235",235,1.97436008742079,7.53896443686175e-14,-8.44310642957305e-13,0.000566847338909879,52196380.9994333,41140435.0565467
"236",236,1.97436008742079,7.53896443630368e-14,-3.77757441324773e-13,0.000507237056855705,52196380.9994929,41140435.0565467
"237",237,1.97436008742079,7.5389644358043e-14,5.90982910527775e-13,0.000453895456111112,52196380.9995463,41140435.0565467
"238",238,1.97436008742079,7.53896443535743e-14,-1.76771869619291e-13,0.000406163318002324,52196380.999594,41140435.0565467
"239",239,1.97436008742079,7.53896443495755e-14,-2.96678486332392e-13,0.000363450742671092,52196380.9996367,41140435.0565467
"240",240,1.97436008742079,7.53896443459973e-14,2.53469023130588e-13,0.000325229867335859,52196380.9996749,41140435.0565467
"241",241,1.97436008742079,7.53896443427954e-14,2.44051309589081e-14,0.000291028341625271,52196380.9997091,41140435.0565467
"242",242,1.97436008742079,7.53896443399302e-14,-1.73862831816113e-13,0.000260423485483445,52196380.9997397,41140435.0565467
"243",243,1.97436008742079,7.53896443373662e-14,7.9979608505702e-14,0.00023303706871721,52196380.9997671,41140435.0565467
"244",244,1.97436008742079,7.53896443350719e-14,5.80815307037396e-14,0.000208530637574916,52196380.9997916,41140435.0565467
"245",245,1.97436008742079,7.53896443330189e-14,-8.23611737265361e-14,0.000186601329485581,52196380.9998135,41140435.0565467
"246",246,1.97436008742079,7.53896443311818e-14,1.49874704604151e-14,0.000166977867575861,52196380.9998332,41140435.0565467
"247",247,1.97436008742079,7.53896443295379e-14,4.79734700489274e-14,0.000149418628800653,52196380.9998507,41140435.0565467
"248",248,1.97436008742079,7.53896443280669e-14,-2.09525736467382e-14,0.000133706275797937,52196380.9998664,41140435.0565467
"249",249,1.97436008742079,7.53896443267506e-14,-3.29071380134318e-14,0.000119646397633374,52196380.9998805,41140435.0565467
"250",250,1.97436008742079,7.53896443255728e-14,-3.40778343660165e-15,0.000107064965385284,52196380.9998931,41140435.0565467
"251",251,1.97436008742079,7.53896443245188e-14,7.90589749341143e-16,9.580653473264e-05,52196380.9999043,41140435.0565467
"252",252,1.97436008742079,7.53896443235756e-14,-5.69479193944699e-15,8.57319865228354e-05,52196380.9999144,41140435.0565467
"253",253,1.97436008742079,7.53896443227316e-14,-2.98567948418275e-15,7.67168286414276e-05,52196380.9999234,41140435.0565467
"254",254,1.97436008742079,7.53896443219763e-14,4.45409865585048e-16,6.864966081956e-05,52196380.9999315,41140435.0565467
"255",255,1.97436008742079,7.53896443213005e-14,-1.85573166126292e-16,6.14307970566671e-05,52196380.9999387,41140435.0565467
"256",256,1.97436008742079,7.53896443206957e-14,-7.18195753219981e-16,5.49710338254041e-05,52196380.9999451,41140435.0565467
"257",257,1.97436008742079,7.53896443201546e-14,-1.13003521439692e-16,4.91905478121686e-05,52196380.9999509,41140435.0565467
"258",258,1.97436008742079,7.53896443196703e-14,1.04616937861622e-16,4.40179095369538e-05,52196380.9999561,41140435.0565467
"259",259,1.97436008742079,7.5389644319237e-14,-6.7096344009078e-17,3.93892006940561e-05,52196380.9999607,41140435.0565467
